apartment_sale_PSF_PPU_mean,apartment_sale_PricePerLandSqFt_mean,apartment_sale_PSF_PPU_median,apartment_sale_PricePerLandSqFt_median,office_sale_PSF_PPU_mean,office_sale_PricePerLandSqFt_mean,office_sale_PSF_PPU_median,office_sale_PricePerLandSqFt_median,apartment_refinance_PSF_PPU_mean,apartment_refinance_PricePerLandSqFt_mean,apartment_refinance_PSF_PPU_median,apartment_refinance_PricePerLandSqFt_median,office_ref_PSF_PPU_mean,office_ref_PricePerLandSqFt_mean,office_ref_PSF_PPU_median,office_ref_PricePerLandSqFt_median,fips
196305.45,124.7994,178431.4,108.3609,,,,,198858.35,80.0086,198858.35,80.0086,,,,,6001437500
219775.725,76.37225,243181.8,78.92175,,,,,298254,231.9147,298254,231.9147,,,,,6001437701
169785.35,90.71845,169166.65,87.56005,,,,,306292.0667,157.5370667,318181.8,157.9042,,,,,6001437702
217634.3,217.367,217634.3,217.367,,,,,223880.6,223.6056,223880.6,223.6056,,,,,6001440308
319500,183.36775,319500,183.36775,,,,,,,,,,,,,6001440331
207358.1,85.5032,207358.1,85.5032,,,,,,,,,,,,,6001440335
82783.02,48.0267,82783.02,48.0267,,,,,316129,216.3293,316129,216.3293,,,,,6001441700
321428.6,134.2879,321428.6,134.2879,,,,,173160,110.0844,173160,110.0844,,,,,6001441800
289878.05,189.8598,289878.05,189.8598,331.82225,151.9838,343.58545,131.3021,248208.12,161.37928,260372.3,135.8551,,,,,6001441923
365709.15,145.58255,365709.15,145.58255,315.1853,154.1274,315.1853,154.1274,,,,,193.5348,94.6396,193.5348,94.6396,6001441924
407120.9,377.7289,407120.9,377.7289,341.6667,65.8861,341.6667,65.8861,,,,,257.1909,106.9885,257.1909,106.9885,6001441925
278688.5,156.3218,278688.5,156.3218,,,,,270343.15,148.820775,263784.15,151.4649,,,,,6001441926
297649.746,146.33088,320000,151.5956,,,,,281774.9,156.0164,261666.7,131.1819,,,,,6001442301
309583.3333,143.3862667,310000,148.7719,311.2799,147.1909,311.2799,147.1909,205869.644,96.3416,218750,73.7619,,,,,6001442302
301136.4,138.2628,301136.4,138.2628,,,,,,,,,,,,,6001442500
185749.05,95.2497,185749.05,95.2497,,,,,227272.7,94.3396,227272.7,94.3396,,,,,6001442602
288125,191.9356,288125,191.9356,,,,,205882.4,122.807,205882.4,122.807,,,,,6001443321
301250,177.6317,301250,177.6317,,,,,,,,,,,,,6001444200
310609.2,177.4582,310609.2,177.4582,,,,,233333.3,147.8977,233333.3,147.8977,,,,,6001444400
232977.45,152.274175,239479.2,147.71165,,,,,221875,148.2707,221875,148.2707,,,,,6001444500
328116.95,354.48745,328116.95,354.48745,221.262975,108.669,245.2179,106.2493,317948.7,343.7981,317948.7,343.7981,,,,,6001450101
354802.3,225.6169,354802.3,225.6169,188.154875,60.914,146.79905,59.3721,,,,,182.0333,91.8274,182.0333,91.8274,6001450300
263749,165.932,263749,165.932,257.0223667,77.8525,240.9871,85.8207,,,,,209.74994,92.82344,175.1235,84.8539,6001450400
308571.4,149.7185,308571.4,149.7185,267.10525,56.13735,267.10525,56.13735,,,,,,,,,6001450501
294520.5667,146.5504333,308219.2,153.4234,,,,,208908.15,117.60255,208908.15,117.60255,,,,,6001450604
353333.3,165.09,353333.3,165.09,,,,,,,,,403.1645,76.3007,403.1645,76.3007,6001450605
400952.4,238.14015,400952.4,238.14015,234.29615,106.1172167,229.94335,90.7384,,,,,194.1396,66.564575,175.751,62.69925,6001450607
338685.3333,486.0194333,338164.3,202.8817,209.3709476,84.30310952,198.3226,74.9402,349056.6,224.413,349056.6,224.413,245.4362833,115.5876083,258.4612,107.20975,6001450743
339493.4,142.6111,339493.4,142.6111,,,,,,,,,,,,,6001450745
195892.9,93.7126,195892.9,93.7126,81.1209,52.1307,81.1209,52.1307,250686.85,108.1287,250686.85,108.1287,,,,,6001451503
232291.7,79.9902,232291.7,79.9902,,,,,284958.3,98.12615,284958.3,98.12615,,,,,6001451506
192700.7,83.022,192700.7,83.022,175.9523,75.0579,175.9523,75.0579,,,,,221.79155,87.36355,221.79155,87.36355,6013303102
103509.825,40.5588,103509.825,40.5588,,,,,,,,,,,,,6013307102
107561,45.8513,107561,45.8513,,,,,,,,,,,,,6013307201
144632.81,80.05115,144632.81,80.05115,,,,,181547.65,107.4974,181547.65,107.4974,,,,,6013307202
