,population_density,average_household_income,employ_rate,gini_index,poverty_family_below_poverty_level_rate,housing_unit_median_value,housing_unit_median_gross_rent,age_median,voting_2016_dem_percentage,voting_2016_gop_percentage,number_of_years_of_education,diversity,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,dropout_16_19_inschool_rate,health_insurance_none_rate,education_less_than_high_school_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,average_household_size,household_type_family_rate,fips
785,5021.307,97347.4141876,0.917595406957,0.4603,0.053710247349800004,477700.0,1353.0,38.3,0.707222967207,0.228093380471,13.466566113599999,0.30105569555,0.13602214314000002,0.525504151839,0.79984951091,1.0,0.16859976466600002,0.216189039718,0.8250126071610001,0.00857286938981,0.00453857791225,0.0,0.00857286938981,0.133131618759,0.0201714573878,2.71,0.647597254005,6097150304
786,9113.588,82609.83847280001,0.932553606238,0.3499,0.0339138405133,365000.0,1775.0,35.1,0.7931424750689999,0.148711258246,12.7014975042,0.762329230568,0.011611030478999999,0.706095791001,0.780061664954,0.979452054795,0.102168566957,0.203993344426,0.315965263861,0.10643509240700001,0.0,0.26720106880399996,0.023602761077700003,0.225339568025,0.061456245825,3.28,0.801027900147,6001437800
787,6861.727,95847.8010686,0.9490953695190001,0.4542,0.022201665124900002,427300.0,1432.0,40.7,0.689128114392,0.254389718539,14.678338565599999,0.386474554781,0.0228915662651,0.373092369478,0.8385360602799999,1.0,0.120388349515,0.045882637044199995,0.768635591621,0.0286846574825,0.0,0.14021513493100002,0.0056614455557700005,0.011134176259700002,0.045668994149799996,2.11,0.444307439375,6013324002
788,7729.062,66063.2220796,0.940067665539,0.3905,0.058530510585300004,229500.0,1223.0,41.7,0.707222967207,0.228093380471,13.6746065504,0.378133920523,0.0364873222016,0.52071737786,0.724465558195,1.0,0.129206730769,0.07868991918330001,0.778545673077,0.011418269230799999,0.0,0.0859375,0.0,0.078125,0.04597355769230002,2.14,0.5154043645699999,6097151306
789,7302.2019999999975,91042.62658230001,0.8855351752959999,0.451,0.0767846430714,331900.0,1359.0,39.6,0.689128114392,0.254389718539,14.232162458800001,0.513674285422,0.045605557233499995,0.491996375717,0.7728667894410001,0.961165048544,0.144892473118,0.0814123673619,0.6723444206010001,0.0800697424893,0.006706008583689999,0.1482027897,0.0,0.0183744635193,0.0743025751073,2.35,0.52753164557,6013334004
790,6590.535,42483.0917874,0.89651416122,0.39,0.170792079208,187500.0,994.0,31.0,0.622546726726,0.317780184152,12.3910533911,0.6875731579279999,0.04314329738059999,0.166409861325,0.62037037037,0.59756097561,0.128579777908,0.20418470418499998,0.474879860201,0.180865006553,0.0,0.0275229357798,0.0021843599825300004,0.20183486238499998,0.112712975098,2.7,0.6505636070849999,6095252502
791,6769.38,50488.972973,0.832419733751,0.3937,0.194492254733,159000.0,952.0,34.7,0.622546726726,0.317780184152,12.212547322899999,0.725136846717,0.07128514056219999,0.299196787149,0.674496644295,1.0,0.121137640449,0.259599783667,0.392869269949,0.11307300509299999,0.017657045840400003,0.0818336162988,0.0,0.30424448217300004,0.09032258064519999,3.04,0.628108108108,6095252501
792,5562.5769999999975,75845.2677916,0.8794835007170001,0.3268,0.0392364793213,199500.0,1458.0,40.8,0.622546726726,0.317780184152,12.6174548251,0.6814274191230001,0.0651577503429,0.597393689986,0.717566016073,1.0,0.107591623037,0.202998846597,0.51755526658,0.072821846554,0.009882964889469999,0.15656697009099999,0.057477243173,0.08166449934980001,0.104031209363,2.78,0.69185619956,6095252314
793,15194.92,41122.3233405,0.858343337335,0.4269,0.338167938931,225000.0,1088.0,31.8,0.7931424750689999,0.148711258246,11.1578216171,0.725784164772,0.059415911379699995,0.34038267875100003,0.6715976331360001,0.961460446247,0.2,0.43289802723000004,0.292369477912,0.33702811245,0.010763052208799999,0.0457831325301,0.0,0.265702811245,0.0483534136546,3.33,0.701284796574,6001408600
794,5777.875,187630.566535,0.9423523942350001,0.3919,0.0213857998289,1121200.0,2125.0,46.3,0.733480189578,0.20852979907400002,16.2321256813,0.561462466086,0.0287907869482,0.792706333973,0.7376916868440001,0.888888888889,0.021391631405700003,0.031740942609799996,0.553446327684,0.010395480226,0.0,0.359322033898,0.013785310734500001,0.0110734463277,0.0519774011299,2.81,0.770092226614,6085508301
795,173333.7,21468.057424900002,0.8589743589740001,0.5166,0.07851239669419999,,412.0,50.6,0.8553169356270001,0.09442505372369996,11.412906754200002,0.724451325085,0.029603831084,0.00870700914236,0.0,1.0,0.173824650572,0.427946404156,0.272616435016,0.107290904657,0.0219458668617,0.40916849548900003,0.0,0.138990490124,0.0499878078517,1.69,0.21713772992400002,6075012502
796,7015.5480000000025,195892.197659,0.9498591549299998,0.4649,0.00847457627119,990000.0,1325.0,53.1,0.7931424750689999,0.148711258246,17.6481481481,0.291140536979,0.019757807520700003,0.834289356278,0.651642475172,1.0,0.0237186477644,0.00580973129993,0.834787350055,0.0032715376226799997,0.009541984732819999,0.0965103598691,0.0,0.005452562704470001,0.050436205016400004,2.38,0.690507152146,6001421200
